"SchemaField('geo_id', 'STRING', 'NULLABLE', None, None, (), None)","SchemaField('census_tract', 'STRING', 'NULLABLE', None, None, (), None)","SchemaField('tract_geom', 'GEOGRAPHY', 'NULLABLE', None, None, (), None)","SchemaField('average_donation', 'FLOAT', 'NULLABLE', None, None, (), None)","SchemaField('median_income', 'FLOAT', 'NULLABLE', None, None, (), None)"
36047105804,105804,"POLYGON((-73.891252 40.650026, -73.889587 40.648111, -73.886557 40.645087, -73.886186 40.644771, -73.884324 40.642937, -73.883735 40.642451, -73.883113 40.641874, -73.882516 40.641351, -73.881901 40.640835, -73.880739 40.639613, -73.879541 40.638862, -73.878938 40.638085, -73.878814 40.637942, -73.878497 40.638575, -73.878351 40.638872, -73.877901 40.639798, -73.877848 40.639904, -73.877268 40.64106, -73.877091 40.641404, -73.876471 40.642611, -73.876231 40.643032, -73.876118 40.643229, -73.876082 40.643293, -73.87624 40.64335, -73.876503 40.643431, -73.876693 40.643496, -73.876857 40.643561, -73.877016 40.64365, -73.87729 40.643842, -73.877519 40.644043, -73.878358 40.6448, -73.878963 40.645344, -73.879269 40.645612, -73.879868 40.646155, -73.880131 40.646383, -73.880732 40.646928, -73.881481 40.647601, -73.882413 40.64844, -73.882781 40.648766, -73.883103 40.649053, -73.883496 40.649411, -73.883708 40.649601, -73.884113 40.649956, -73.884806 40.650765, -73.886282 40.652756, -73.887131 40.652394, -73.887949 40.652041, -73.888766 40.651691, -73.889591 40.651338, -73.889994 40.651138, -73.891252 40.650026))",315076.0,30867.0
36047060800,060800,"POLYGON((-73.960247 40.584789, -73.960244 40.584739, -73.960238 40.584615, -73.960235 40.584522, -73.960087 40.583486, -73.960027 40.583209, -73.959006 40.582866, -73.957214 40.583085, -73.957163 40.583037, -73.956851 40.582859, -73.956775 40.582818, -73.956536 40.582659, -73.956288 40.582697, -73.956041 40.582736, -73.955174 40.582916, -73.954365 40.583081, -73.954143 40.583105, -73.954086 40.582795, -73.954032 40.582517, -73.953813 40.582543, -73.953419 40.582609, -73.951082 40.582514, -73.949409 40.582435, -73.944308 40.582201, -73.940947 40.581913, -73.941234 40.583131, -73.941311 40.583337, -73.941394 40.583337, -73.941472 40.583797, -73.940719 40.583831, -73.939944 40.583857, -73.939781 40.583863, -73.939183 40.583884, -73.938974 40.583891, -73.938738 40.583899, -73.9388 40.584243, -73.938942 40.584985, -73.939033 40.58541, -73.939089 40.585652, -73.939107 40.585773, -73.939139 40.585983, -73.94106 40.585661, -73.941916 40.58552, -73.94291 40.585406, -73.943866 40.585298, -73.944931 40.585172, -73.945552 40.585139, -73.946692 40.585073, -73.947199 40.585033, -73.947636 40.584999, -73.948662 40.584894, -73.94987 40.584856, -73.951238 40.584925, -73.952879 40.585198, -73.953318 40.585299, -73.953656 40.585402, -73.95398 40.585712, -73.954363 40.585675, -73.954853 40.585624, -73.955726 40.585524, -73.956676 40.585358, -73.957625 40.585285, -73.959172 40.585139, -73.95928 40.585129, -73.960261 40.585039, -73.960247 40.584789))",823305.0,53967.0
36047062200,062200,"POLYGON((-73.941394 40.583337, -73.941311 40.583337, -73.941234 40.583131, -73.940947 40.581913, -73.940439 40.581879, -73.931946 40.582022, -73.931842 40.583076, -73.932029 40.584149, -73.932031 40.584168, -73.932042 40.584234, -73.931078 40.584388, -73.930096 40.584502, -73.930191 40.585086, -73.931256 40.585432, -73.931297 40.585633, -73.931301 40.585678, -73.931322 40.585803, -73.931369 40.586071, -73.932109 40.586286, -73.932445 40.58636, -73.932637 40.586394, -73.933444 40.586537, -73.934448 40.586652, -73.934774 40.58664, -73.935412 40.586586, -73.936337 40.586481, -73.937247 40.586311, -73.938169 40.58615, -73.939139 40.585983, -73.939107 40.585773, -73.939089 40.585652, -73.939033 40.58541, -73.938942 40.584985, -73.9388 40.584243, -73.938738 40.583899, -73.938974 40.583891, -73.939183 40.583884, -73.939781 40.583863, -73.939944 40.583857, -73.940719 40.583831, -73.941472 40.583797, -73.941394 40.583337))",823305.0,64321.0
36047036002,036002,"POLYGON((-73.963008 40.575716, -73.962881 40.574983, -73.961034 40.575076, -73.959414 40.575158, -73.959454 40.575575, -73.959475 40.575874, -73.959524 40.576528, -73.959531 40.576619, -73.959633 40.577993, -73.960578 40.577796, -73.961441 40.57761, -73.962364 40.577411, -73.963279 40.577212, -73.963008 40.575716))",823305.0,19363.0
36047036600,036600,"POLYGON((-73.967602 40.580362, -73.96729 40.580421, -73.966211 40.58063, -73.965945 40.580689, -73.965555 40.58077, -73.965113 40.580863, -73.964652 40.58096, -73.963756 40.58115, -73.962828 40.581347, -73.961943 40.581535, -73.961032 40.581726, -73.960936 40.581746, -73.959943 40.581959, -73.959993 40.582634, -73.960027 40.583209, -73.960087 40.583486, -73.960235 40.584522, -73.960238 40.584615, -73.960244 40.584739, -73.960247 40.584789, -73.960261 40.585039, -73.961618 40.584883, -73.962405 40.584806, -73.962552 40.584783, -73.963442 40.584676, -73.966357 40.584583, -73.966614 40.584575, -73.966709 40.58424, -73.966744 40.584066, -73.966777 40.583904, -73.966795 40.583821, -73.966894 40.583348, -73.967335 40.581515, -73.967602 40.580362))",823305.0,42083.0
36047061200,061200,"POLYGON((-73.953838 40.581745, -73.953788 40.581548, -73.953737 40.581352, -73.953342 40.579267, -73.952369 40.579373, -73.951449 40.579476, -73.95053 40.579575, -73.949611 40.579678, -73.948688 40.579779, -73.947715 40.579887, -73.946742 40.579993, -73.945822 40.580093, -73.944909 40.580194, -73.943989 40.5803, -73.944117 40.581038, -73.94414 40.581278, -73.944308 40.582201, -73.949409 40.582435, -73.951082 40.582514, -73.953419 40.582609, -73.953813 40.582543, -73.954032 40.582517, -73.953838 40.581745))",823305.0,108250.0
36047062000,062000,"POLYGON((-73.953104 40.578016, -73.953034 40.577646, -73.953001 40.577475, -73.952974 40.577334, -73.952874 40.576882, -73.951914 40.576988, -73.950995 40.577088, -73.950075 40.57719, -73.949157 40.577291, -73.948235 40.577393, -73.947262 40.5775, -73.946291 40.577609, -73.945376 40.577708, -73.944452 40.577808, -73.943537 40.57791, -73.942591 40.578013, -73.941656 40.578119, -73.940746 40.578216, -73.939801 40.578317, -73.940273 40.580819, -73.940357 40.581033, -73.940439 40.581879, -73.940947 40.581913, -73.944308 40.582201, -73.94414 40.581278, -73.944117 40.581038, -73.943989 40.5803, -73.944909 40.580194, -73.945822 40.580093, -73.946742 40.579993, -73.947715 40.579887, -73.948688 40.579779, -73.949611 40.579678, -73.95053 40.579575, -73.951449 40.579476, -73.952369 40.579373, -73.953342 40.579267, -73.953104 40.578016))",823305.0,127404.0
36047037000,037000,"POLYGON((-73.966614 40.584575, -73.966357 40.584583, -73.963442 40.584676, -73.962552 40.584783, -73.962405 40.584806, -73.961618 40.584883, -73.960261 40.585039, -73.960277 40.58582, -73.960296 40.586505, -73.96035 40.587307, -73.960408 40.588034, -73.96046 40.588724, -73.960517 40.589453, -73.960572 40.590182, -73.960624 40.590863, -73.96068 40.591598, -73.960812 40.591583, -73.9626 40.591386, -73.962838 40.59136, -73.96321 40.591319, -73.963774 40.591257, -73.964417 40.591186, -73.964826 40.591141, -73.965129 40.591108, -73.965302 40.590358, -73.965474 40.589608, -73.965641 40.588888, -73.965814 40.588133, -73.965975 40.587432, -73.96615 40.586669, -73.96633 40.585896, -73.966497 40.585142, -73.966614 40.584575))",823305.0,58032.0
36047061004,061004,"POLYGON((-73.959633 40.577993, -73.959017 40.578123, -73.95827 40.57831, -73.95781 40.578269, -73.956913 40.578028, -73.956648 40.577947, -73.956053 40.577766, -73.955787 40.577684, -73.955213 40.577505, -73.954833 40.577393, -73.954735 40.577366, -73.954041 40.577457, -73.953758 40.577477, -73.953709 40.577462, -73.953685 40.577431, -73.953547 40.576768, -73.952874 40.576882, -73.952974 40.577334, -73.953001 40.577475, -73.953034 40.577646, -73.953104 40.578016, -73.953342 40.579267, -73.953737 40.581352, -73.953788 40.581548, -73.953838 40.581745, -73.954032 40.582517, -73.954086 40.582795, -73.954143 40.583105, -73.954365 40.583081, -73.955174 40.582916, -73.956041 40.582736, -73.956288 40.582697, -73.956536 40.582659, -73.95675 40.582366, -73.959663 40.578366, -73.959633 40.577993))",823305.0,28649.0
36047061600,061600,"POLYGON((-73.952426 40.574559, -73.952399 40.574254, -73.951683 40.570297, -73.946549 40.57083, -73.937204 40.571801, -73.929387 40.572613, -73.930331 40.576073, -73.931946 40.582022, -73.940439 40.581879, -73.940357 40.581033, -73.940273 40.580819, -73.939801 40.578317, -73.940746 40.578216, -73.941656 40.578119, -73.942591 40.578013, -73.943537 40.57791, -73.944452 40.577808, -73.945376 40.577708, -73.946291 40.577609, -73.947262 40.5775, -73.948235 40.577393, -73.949157 40.577291, -73.950075 40.57719, -73.950995 40.577088, -73.951914 40.576988, -73.952874 40.576882, -73.952426 40.574559))",823305.0,92574.0
36047058800,058800,"POLYGON((-73.960624 40.590863, -73.960572 40.590182, -73.960517 40.589453, -73.96046 40.588724, -73.960408 40.588034, -73.96035 40.587307, -73.959347 40.587417, -73.958195 40.587544, -73.957126 40.587661, -73.956193 40.587762, -73.956227 40.587996, -73.956391 40.588929, -73.956588 40.589884, -73.956657 40.590125, -73.957003 40.592002, -73.957676 40.591929, -73.958998 40.591784, -73.959677 40.591707, -73.96068 40.591598, -73.960624 40.590863))",823305.0,63516.0
36047061003,061003,"POLYGON((-73.959993 40.582634, -73.959943 40.581959, -73.95991 40.581513, -73.959885 40.581171, -73.95986 40.580825, -73.959854 40.580762, -73.959832 40.580483, -73.959801 40.58008, -73.959746 40.579369, -73.959663 40.578366, -73.95675 40.582366, -73.956536 40.582659, -73.956775 40.582818, -73.956851 40.582859, -73.957163 40.583037, -73.957214 40.583085, -73.959006 40.582866, -73.960027 40.583209, -73.959993 40.582634))",823305.0,50380.0
36047036200,036200,"POLYGON((-73.968535 40.576291, -73.968262 40.576304, -73.967355 40.576348, -73.967172 40.576386, -73.96638 40.576551, -73.965912 40.576646, -73.965831 40.576664, -73.965095 40.576827, -73.96419 40.577018, -73.963279 40.577212, -73.962364 40.577411, -73.961441 40.57761, -73.960578 40.577796, -73.959633 40.577993, -73.959663 40.578366, -73.959746 40.579369, -73.959801 40.58008, -73.960333 40.579968, -73.960744 40.579881, -73.961305 40.579759, -73.962203 40.579572, -73.962657 40.579471, -73.963106 40.579377, -73.963555 40.579283, -73.964008 40.579187, -73.964463 40.579091, -73.96491 40.578996, -73.965815 40.578808, -73.966664 40.578624, -73.967772 40.57838, -73.968074 40.578313, -73.968352 40.577115, -73.968507 40.576422, -73.968535 40.576291))",823305.0,37155.0
36047060600,060600,"POLYGON((-73.960296 40.586505, -73.960277 40.58582, -73.960261 40.585039, -73.95928 40.585129, -73.959172 40.585139, -73.957625 40.585285, -73.956676 40.585358, -73.955726 40.585524, -73.954853 40.585624, -73.954363 40.585675, -73.95398 40.585712, -73.953656 40.585402, -73.953318 40.585299, -73.952879 40.585198, -73.951238 40.584925, -73.951889 40.585936, -73.952783 40.587072, -73.952675 40.587157, -73.952475 40.587214, -73.952276 40.587272, -73.95233 40.58751, -73.952454 40.588173, -73.953417 40.588068, -73.953252 40.587195, -73.954129 40.587357, -73.954213 40.587383, -73.954341 40.587967, -73.955265 40.587862, -73.955641 40.587821, -73.956193 40.587762, -73.957126 40.587661, -73.958195 40.587544, -73.959347 40.587417, -73.96035 40.587307, -73.960296 40.586505))",823305.0,57399.0
36047036001,036001,"POLYGON((-73.968791 40.575211, -73.968537 40.575142, -73.967682 40.574967, -73.966754 40.574833, -73.964711 40.574782, -73.962881 40.574983, -73.963008 40.575716, -73.963279 40.577212, -73.96419 40.577018, -73.965095 40.576827, -73.965831 40.576664, -73.965912 40.576646, -73.96638 40.576551, -73.967172 40.576386, -73.967355 40.576348, -73.968262 40.576304, -73.968535 40.576291, -73.968571 40.576131, -73.968868 40.575236, -73.968791 40.575211))",823305.0,22589.0
